en_name,en_time,en_len,zh_name,zh_time,need_update
Flying robot frame,2018-02-06 12:39:39,554,Flying robot frame/zh,2017-08-17 11:52:29,True
Follower robot count (research),2021-04-09 11:16:47,2905,Follower robot count (research)/zh,2019-02-28 12:25:58,True
Fuel,2021-05-25 06:10:28,3268,Fuel/zh,2018-07-10 10:13:48,True
Furnace,2020-09-16 18:55:33,592,Furnace/zh,2018-06-23 08:54:22,True
Game modes and options,2021-11-15 00:39:16,1466,Game modes and options/zh,2017-09-02 19:13:17,True
Gate,2021-06-22 08:40:13,3157,Gate/zh,2018-07-13 17:47:08,True
Gate (research),2020-11-23 20:58:33,210,Gate (research)/zh,2020-11-23 20:59:13,False
Green wire,2020-09-08 15:10:38,1220,Green wire/zh,2018-07-04 08:12:11,True
Grenade,2021-10-29 16:56:14,887,Grenade/zh,2019-05-16 13:33:34,True
Grenade damage (research),2019-03-05 08:15:29,2168,Grenade damage (research)/zh,2019-02-28 12:26:21,True
Gun turret,2020-04-30 23:42:56,1577,Gun turret/zh,2017-10-06 08:19:06,True
Gun turret (research),2020-11-23 21:02:08,250,Gun turret (research)/zh,2022-01-22 05:49:44,False
Gun turret damage (research),2019-03-05 08:15:31,2003,Gun turret damage (research)/zh,2019-02-28 12:25:47,True
Hazard concrete,2019-09-16 07:31:08,364,Hazard concrete/zh,2018-07-04 08:56:02,True
Heat exchanger,2019-09-13 23:48:17,2027,Heat exchanger/zh,2018-07-17 06:13:28,True
Heat pipe,2019-09-13 23:47:06,1137,Heat pipe/zh,2018-07-17 08:15:25,True
Heavy armor,2021-10-29 16:55:52,816,Heavy armor/zh,2018-07-26 02:26:46,True
Heavy armor (research),2020-02-25 14:34:09,236,Heavy armor (research)/zh,2022-01-22 05:51:17,False
Heavy oil,2022-01-04 13:16:26,1147,Heavy oil/zh,2021-08-06 17:35:34,True
Inserter,2021-07-09 13:37:48,2665,Inserter/zh,2018-06-19 07:05:32,True
Inserter capacity bonus (research),2020-09-18 08:48:05,4213,Inserter capacity bonus (research)/zh,2019-02-28 12:25:54,True
Inserters,2021-02-25 10:31:12,18805,Inserters/zh,2018-07-09 18:06:48,True
Install guide,2019-07-20 11:40:23,4492,Install guide/zh,2018-08-20 11:50:08,True
Iron axe,2021-11-05 10:09:53,1161,Iron axe/zh,2019-02-26 17:18:14,True
Iron chest,2018-12-06 12:03:43,657,Iron chest/zh,2018-06-17 15:40:28,True
Iron gear wheel,2021-03-15 11:59:25,644,Iron gear wheel/zh,2017-08-17 11:37:07,True
Iron ore,2018-11-07 17:42:02,217,Iron ore/zh,2022-01-22 05:00:04,False
Iron plate,2021-10-01 17:13:56,800,Iron plate/zh,2017-08-17 10:37:52,True
Iron stick,2021-03-15 11:17:19,392,Iron stick/zh,2017-08-17 11:35:34,True
Keyboard bindings,2021-11-12 16:25:20,13898,Keyboard bindings/zh,2018-07-13 17:42:25,True
Kovarex enrichment process,2020-08-24 09:59:12,3287,Kovarex enrichment process/zh,2019-09-23 19:35:45,True
Kovarex enrichment process (research),2020-05-01 12:40:39,306,Kovarex enrichment process (research)/zh,2018-07-12 12:09:37,True
Lab,2020-11-23 11:26:40,3731,Lab/zh,2017-09-09 16:32:09,True
Lab research speed (research),2019-03-05 08:15:19,1625,Lab research speed (research)/zh,2019-02-28 12:25:39,True
Lamp,2021-03-14 12:57:40,2216,Lamp/zh,2018-07-04 07:41:10,True
Land mine,2021-10-29 16:55:55,1657,Land mine/zh,2017-08-14 17:53:41,True
Land mines (research),2019-07-15 20:06:47,111,Land mines (research)/zh,2019-07-15 20:06:46,True
Landfill,2020-04-09 00:35:45,890,Landfill/zh,2018-07-04 09:10:13,True
Landfill (research),2017-07-19 16:27:16,109,Landfill (research)/zh,2018-07-12 12:10:17,False
Laser (research),2021-04-09 11:21:33,307,Laser (research)/zh,2021-04-09 11:26:20,False
Laser shooting speed (research),2021-03-11 17:18:11,2911,Laser shooting speed (research)/zh,2021-04-09 11:25:24,False
Laser turret,2020-09-30 02:22:07,1594,Laser turret/zh,2021-11-17 10:49:16,False
Laser turret (research),2020-11-23 20:59:34,113,Laser turret (research)/zh,2020-11-23 21:00:02,False
Laser turret damage (research),2021-04-09 11:30:34,2666,Laser turret damage (research)/zh,2021-04-09 11:30:35,False
Light armor,2021-10-29 16:56:02,810,Light armor/zh,2018-07-26 02:16:53,True
Light oil,2022-01-04 13:16:36,1180,Light oil/zh,2021-08-06 17:37:02,True
Locomotive,2021-06-28 14:49:03,6631,Locomotive/zh,2021-03-19 15:30:39,True
Logistic network,2021-01-29 15:37:06,12388,Logistic network/zh,2020-10-21 11:30:24,True
Logistic robot,2020-10-21 10:36:14,3859,Logistic robot/zh,2018-06-28 05:17:33,True
Logistic robotics (research),2020-03-24 15:08:08,853,Logistic robotics (research)/zh,2018-07-12 09:40:53,True
Logistic science pack,2019-09-16 15:35:55,1825,Logistic science pack/zh,2019-02-26 17:25:13,True
Logistic science pack (research),2020-09-14 06:49:44,199,Logistic science pack (research)/zh,2020-12-04 15:51:44,False
Logistic system (research),2020-03-24 15:28:04,139,Logistic system (research)/zh,2018-07-12 12:13:51,True
Logistics (research),2018-04-24 11:59:41,196,Logistics (research)/zh,2018-07-12 07:32:46,False
Logistics 2 (research),2017-09-04 18:49:48,285,Logistics 2 (research)/zh,2018-07-12 07:36:11,False
Logistics 3 (research),2018-12-01 20:49:06,285,Logistics 3 (research)/zh,2022-01-22 06:15:39,False
Long-handed inserter,2020-11-30 18:08:55,2362,Long-handed inserter/zh,2020-11-30 18:10:07,False
Low density structure,2021-03-14 13:05:06,979,Low density structure/zh,2018-07-18 03:44:38,True
Low density structure (research),2019-06-18 10:11:31,120,Low density structure (research)/zh,2019-12-24 05:12:29,False
Lubricant,2019-09-16 05:12:55,530,Lubricant/zh,2017-12-25 13:35:08,True
Lubricant (research),2019-06-18 10:06:51,108,Lubricant (research)/zh,2021-11-15 18:15:24,False
Main Page,2020-12-11 18:15:55,1991,Main Page/zh,2020-12-11 18:17:19,False
Map editor,2020-08-17 10:45:53,6016,Map editor/zh,2015-06-03 13:34:25,True
Map generator,2021-05-03 12:00:45,18046,Map generator/zh,2020-05-06 10:07:13,True
Materials and recipes,2020-08-17 10:33:24,27,Materials and recipes/zh,2020-08-17 10:33:40,False
